duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d
1096.0,0,4591740.0,0.0,0.0,2.0074668141023544e-05,0.0006492307399903474,0.0,0.0,46.08882834493173,1490.549379021639
1826.0,0,156800000.0,0.0,0.0,3.0233650823441316e-05,0.000977624644554309,0.0,0.0,2370.318224557799,76645.77213305784
1096.0,0,79600000.0,0.0,0.0,1.772060283289356e-05,0.0005731195414666601,0.0,0.0,705.2799927491637,22810.157750373073
858.0,0,469545.0,0.0,0.0,1.9271109811147547e-05,0.0006232508740752207,0.0,0.0,4.524326628137637,146.32216583382476
365.0,0,110000000.0,0.0,0.0,1.8806240641322525e-05,0.0006082208776317932,0.0,0.0,1034.3432352727389,33452.14826974863
366.0,0,420000000.0,0.0,0.0,1.9199707978811986e-05,0.0006209423478552578,0.0,0.0,4031.938675550517,130397.89304960414
366.0,0,150000000.0,0.0,0.0,1.9648048763309944e-05,0.000635437778949699,0.0,0.0,1473.6036572482458,47657.83342122743
1096.0,0,7483340.0,0.0,0.0,1.9731469887762643e-05,0.0006381348681345766,0.0,0.0,73.82864893494485,2387.6900920531016
365.0,0,160000000.0,0.0,0.0,1.886645192550329e-05,0.0006101676213295937,0.0,0.0,1509.3161540402634,48813.40970636749
1096.0,0,1.0,0.0,0.0,1.9532948855260912e-05,0.000631716471123811,0.0,0.0,9.766474427630456e-06,0.0003158582355619055
365.0,0,110000000.0,0.0,0.0,1.890094333456549e-05,0.000611282791594947,0.0,0.0,1039.551883401102,33620.55353772209
2283.0,0,251000000000.0,0.0,0.0,2.9770840801135456e-05,0.0009626663662322121,0.0,0.0,3736240.5205424996,120814628.96214262
7302.0,0,685500000.0,0.0,0.0,2.7923797201401257e-05,0.0009029667241968742,0.0,0.0,9570.88149078028,309491.8447184786
3653.0,0,1022000000.0,0.0,0.0,1.55130609846843e-05,0.0005017406081133657,0.0,0.0,7927.174163173678,256389.4507459299
1096.0,0,731438.0,0.0,0.0,2.007241946699878e-05,0.0006491580389641483,0.0,0.0,7.340865175051327,237.40942885192933
7305.0,0,667500000.0,0.0,0.0,1.5591297967354478e-05,0.0005042704169053724,0.0,0.0,5203.595696604557,168300.25164216806
