PD_30d,PD_90d,PD_180d,PD_365d,PD_30d_refit,PD_90d_refit,PD_180d_refit,PD_365d_refit,EAD
0.0,0.0,2.2263084503926223e-05,0.0007199811697435887,0.0,0.0,1.4344690426715268e-05,0.00047145098786927075,433328000.0
0.0,0.0,1.7391936274480102e-05,0.0005624927089852294,0.0,0.0,1.0596176362343002e-05,0.00034827354841648894,126000000.0
0.0,0.0,1.971532699651668e-05,0.0006376129527095875,0.0,0.0,1.3439045537855243e-05,0.0004416925389401083,46330750.0
0.0,0.0,1.8868367288482624e-05,0.0006102295485447273,0.0,0.0,1.2767458828943923e-05,0.00041962441777365633,150000000.0
0.0,0.0,1.8837392560144828e-05,0.0006092280780277681,0.0,0.0,1.2526751762775845e-05,0.0004117147467489479,13590000000.0
0.0,0.0,1.8478527497256536e-05,0.0005976252328604437,0.0,0.0,1.2471819552550834e-05,0.00040990965741116714,9729667.0
0.0,0.0,3.362668653372758e-05,0.0010872828247819877,0.0,0.0,2.705838820060702e-05,0.000889117805015216,100000000.0
0.0,0.0,1.9510293103430776e-05,0.0006309839839274689,0.0,0.0,1.3399603536301541e-05,0.0004403965006355426,600000000.0
0.0,0.0,1.9129289230201962e-05,0.0006186656011168967,0.0,0.0,1.2941572135383161e-05,0.00042534576984198935,745000000.0
0.0,0.0,3.9558555098739845e-05,0.001278964519323078,0.0,0.0,3.5176786140622696e-05,0.0011557325939763885,8555000.0
0.0,0.0,1.9386481253991228e-05,0.0006269809915286917,0.0,0.0,1.3180138956458975e-05,0.00043318500870792587,27665001.0
0.0,0.0,1.913826993538148e-05,0.0006189559614449003,0.0,0.0,1.2956270458719388e-05,0.00042582875434993284,100000000.0
0.0,0.0,2.0074668141023544e-05,0.0006492307399903474,0.0,0.0,1.3697080431862574e-05,0.0004501713561484433,4591740.0
0.0,0.0,3.0233650823441316e-05,0.000977624644554309,0.0,0.0,2.301766629642099e-05,0.0007563914952324335,156800000.0
0.0,0.0,1.772060283289356e-05,0.0005731195414666601,0.0,0.0,1.3348121870815355e-05,0.00043870484441643764,79600000.0
0.0,0.0,1.9271109811147547e-05,0.0006232508740752207,0.0,0.0,1.3112176020624311e-05,0.00043095177176077915,469545.0
0.0,0.0,1.8806240641322525e-05,0.0006082208776317932,0.0,0.0,1.2709606465710621e-05,0.00041772338580747803,110000000.0
0.0,0.0,1.9199707978811986e-05,0.0006209423478552578,0.0,0.0,1.3049430332201517e-05,0.0004288899673362545,420000000.0
0.0,0.0,1.9648048763309944e-05,0.000635437778949699,0.0,0.0,1.3476998354411407e-05,0.0004429396420653209,150000000.0
0.0,0.0,1.9731469887762643e-05,0.0006381348681345766,0.0,0.0,1.3447672527089338e-05,0.00044197601593309876,7483340.0
0.0,0.0,1.886645192550329e-05,0.0006101676213295937,0.0,0.0,1.2765446727236451e-05,0.000419558300055467,160000000.0
