found,reason,prob_orig,prob_final,changes,index,_error
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},63270,
False,,0.9790338272941087,0.9790338272941087,{},25089,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},62437,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},50425,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},9680,
False,already_good,5.2138746738072005e-06,5.2138746738072005e-06,{},54738,
False,already_good,5.129951997738413e-06,5.129951997738413e-06,{},7200,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},63231,
False,already_good,4.535071201804759e-06,4.535071201804759e-06,{},31135,
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},63011,
False,already_good,5.431041721982325e-06,5.431041721982325e-06,{},68149,
False,,0.9998308068955843,0.9998308068955843,{},14977,
False,already_good,5.089182930105346e-06,5.089182930105346e-06,{},20521,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},75512,
False,already_good,3.8099933453966946e-06,3.8099933453966946e-06,{},3905,
False,already_good,7.151087998711991e-07,7.151087998711991e-07,{},64321,
False,already_good,3.856454698318868e-06,3.856454698318868e-06,{},86807,
False,already_good,1.7085434374972874e-05,1.7085434374972874e-05,{},46857,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},46129,
False,already_good,5.085008185227285e-06,5.085008185227285e-06,{},68255,
False,,0.9998526945323498,0.9998526945323498,{},33997,
False,,0.9335671563732578,0.9335671563732578,{},2568,
False,already_good,2.067536609444706e-06,2.067536609444706e-06,{},65918,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},74542,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},36720,
False,already_good,4.2923440980058675e-06,4.2923440980058675e-06,{},24320,
False,already_good,4.47578250126815e-06,4.47578250126815e-06,{},87941,
False,already_good,4.181211633070204e-06,4.181211633070204e-06,{},40525,
False,,0.9783850738038414,0.9783850738038414,{},3293,
False,already_good,5.085008185227285e-06,5.085008185227285e-06,{},24029,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},49534,
False,already_good,5.658396106880374e-06,5.658396106880374e-06,{},61536,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},20305,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},78324,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},31128,
False,,0.9992767163341139,0.9992767163341139,{},19392,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},67857,
False,already_good,4.537374323714299e-06,4.537374323714299e-06,{},16328,
False,already_good,4.181211633070204e-06,4.181211633070204e-06,{},15806,
False,already_good,4.079712098746835e-06,4.079712098746835e-06,{},44708,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},74199,
False,already_good,4.12373509883519e-06,4.12373509883519e-06,{},20432,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},49045,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},19695,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},50359,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},14247,
